id,Dorsal,Nombre,Apellido,Team,Posicion,OPS,%_On_Base,Slugging,Fecha Nac,Edad,F_Debut,Lugar_Nacimiento,Pais,Peso,Estatura(mtrs),Mano_Bateo,Mano_Lanzar,Juegos_Jugados,Turnos_Bate,Carrera,Hits,Dobles,Triple,Jonrones,Carreras_Impulsadas,Boletos,Ponches,Bases_Robadas,Atrapado_Robando,Promedio,Link_Ficha_Player,IMC
660670,13,Ronald,Acuna,ATL,RF,0.764,0.351,0.413,1997-12-18,25,2018-04-25, Venezuela,Venezuela,92.99,1.83,R,R,119,467,71,124,24,0,15,50,53,126,29,11,0.266,https://www.mlb.com/es/player/660670,27.76732658484875
650402,25,Gleyber,Torres,NYY,2B,0.761,0.31,0.451,1996-12-13,26,2018-04-22, Venezuela,Venezuela,92.99,1.85,R,R,140,526,73,135,28,1,24,76,39,129,10,5,0.257,https://www.mlb.com/es/player/650402,27.170197224251275
669221,12,Sean,Murphy,OAK,C,0.758,0.332,0.426,1994-10-04,28,2019-05-19, NY,USA,103.42,1.91,R,R,148,537,67,134,37,2,18,66,56,124,1,0,0.25,https://www.mlb.com/es/player/669221,28.34900359091034
656305,26,Matt,Chapman,TOR,3B,0.757,0.324,0.433,1993-04-28,30,2017-06-15, CA,USA,97.52,1.83,R,R,155,538,83,123,27,1,27,76,68,170,2,2,0.229,https://www.mlb.com/es/player/656305,29.120009555376388
642715,27,Willy,Adames,MIL,SS,0.756,0.298,0.458,1995-09-02,27,2018-05-22, Dominican Republic,Dominican Republic,97.07,1.85,R,R,139,563,83,134,31,0,31,98,49,166,8,3,0.238,https://www.mlb.com/es/player/642715,28.36230825420014
666969,53,Adolis,Garcia,TEX,RF,0.756,0.3,0.456,1993-03-02,30,2018-08-08, Cuba,Cuba,92.99,1.85,R,R,156,605,88,151,34,5,27,101,40,183,25,6,0.25,https://www.mlb.com/es/player/666969,27.170197224251275
683734,25,Andrew,Vaughn,CWS,1B,0.75,0.321,0.429,1998-04-03,25,2021-04-02, CA,USA,97.52,1.83,R,R,134,510,60,138,28,1,17,76,31,96,0,0,0.271,https://www.mlb.com/es/player/683734,29.120009555376388
664913,15,Seth,Brown,OAK,LF,0.749,0.305,0.444,1992-07-13,30,2019-08-26, OR,USA,101.15,1.85,L,L,150,500,55,115,26,3,25,73,51,146,11,2,0.23,https://www.mlb.com/es/player/664913,29.554419284149013
662139,25,Daulton,Varsho,AZ,LF,0.745,0.302,0.443,1996-07-02,26,2020-07-30, WI,USA,93.89,1.55,L,R,151,531,79,125,23,3,27,74,46,145,16,6,0.235,https://www.mlb.com/es/player/662139,39.080124869927154
641857,24,Ryan,McMahon,COL,3B,0.741,0.327,0.414,1994-12-14,28,2017-08-12, CA,USA,99.34,1.88,L,R,153,529,67,130,23,3,20,67,60,158,7,3,0.246,https://www.mlb.com/es/player/641857,28.106609325486648
668942,10,Josh,Rojas,AZ,3B,0.74,0.349,0.391,1994-06-30,28,2019-08-12, AZ,USA,93.89,1.85,L,R,125,443,66,119,25,1,9,56,55,98,23,3,0.269,https://www.mlb.com/es/player/668942,27.43316289262235
592885,22,Christian,Yelich,MIL,LF,0.738,0.355,0.383,1991-12-05,31,2013-07-23, CA,USA,93.89,1.91,L,R,154,575,99,145,25,4,14,57,88,162,19,3,0.252,https://www.mlb.com/es/player/592885,25.736684849647762
663538,2,Nico,Hoerner,CHC,2B,0.737,0.327,0.41,1997-05-13,26,2019-09-09, CA,USA,90.72,1.85,R,R,135,481,60,135,22,5,10,55,28,57,20,2,0.281,https://www.mlb.com/es/player/663538,26.506939371804233
518934,26,DJ,LeMahieu,NYY,3B,0.734,0.357,0.377,1988-07-13,34,2011-05-30, CA,USA,99.79,1.93,R,R,125,467,74,122,18,0,12,46,67,71,4,3,0.261,https://www.mlb.com/es/player/518934,26.789980939085616
453568,19,Charlie,Blackmon,COL,DH,0.733,0.314,0.419,1986-07-01,36,2011-06-07, TX,USA,100.24,1.91,L,L,135,530,60,140,22,6,16,78,32,109,4,1,0.264,https://www.mlb.com/es/player/453568,27.47731695951317
663898,7,Brendan,Rodgers,COL,2B,0.733,0.325,0.408,1996-08-09,26,2019-05-17, FL,USA,92.53,1.83,R,R,137,527,72,140,30,3,13,63,46,101,0,0,0.266,https://www.mlb.com/es/player/663898,27.629968049210184
543760,2,Marcus,Semien,TEX,2B,0.733,0.304,0.429,1990-09-17,32,2013-09-04, CA,USA,88.45,1.83,R,R,161,657,101,163,31,5,26,83,53,120,25,8,0.248,https://www.mlb.com/es/player/543760,26.41165755919854
657077,99,Alex,Verdugo,BOS,RF,0.7330000000000001,0.328,0.405,1996-05-15,27,2017-09-01, AZ,USA,87.09,1.83,L,L,152,593,75,166,39,1,11,74,42,86,1,3,0.28,https://www.mlb.com/es/player/657077,26.00555406252799
606466,4,Ketel,Marte,AZ,2B,0.728,0.321,0.407,1993-10-12,29,2015-07-31, Dominican Republic,Dominican Republic,95.25,1.85,S,R,137,492,68,118,42,2,12,52,55,101,5,1,0.24,https://www.mlb.com/es/player/606466,27.83053323593864
663624,6,Ryan,Mountcastle,BAL,1B,0.728,0.305,0.423,1997-02-18,26,2020-08-21, FL,USA,99.79,1.93,R,R,145,555,62,139,28,1,22,85,43,154,4,1,0.25,https://www.mlb.com/es/player/663624,26.789980939085616
500871,10,Eduardo,Escobar,NYM,3B,0.725,0.295,0.43,1989-01-05,34,2011-09-02, Venezuela,Venezuela,87.54,1.55,S,R,136,495,58,119,26,4,20,69,40,129,0,2,0.24,https://www.mlb.com/es/player/500871,36.43704474505723
669242,19,Tommy,Edman,STL,SS,0.724,0.324,0.4,1995-05-09,28,2019-06-08, MI,USA,81.65,1.55,S,R,153,577,95,153,31,4,13,57,46,111,32,3,0.265,https://www.mlb.com/es/player/669242,33.98543184183142
545341,15,Randal,Grichuk,COL,RF,0.724,0.299,0.425,1991-08-13,31,2014-04-28, TX,USA,97.98,1.88,R,R,141,506,60,131,21,3,19,73,24,127,4,0,0.259,https://www.mlb.com/es/player/545341,27.721819827976464
621550,16,Patrick,Wisdom,CHC,3B,0.724,0.298,0.426,1991-08-27,31,2018-08-12, CA,USA,99.79,1.88,R,R,134,469,67,97,28,0,25,66,53,183,8,4,0.207,https://www.mlb.com/es/player/621550,28.233929379809872
650859,2,Luis,Rengifo,LAA,2B,0.723,0.294,0.429,1997-02-26,26,2019-04-25, Venezuela,Venezuela,88.45,1.55,S,R,127,489,45,129,22,4,17,52,17,79,6,2,0.264,https://www.mlb.com/es/player/650859,36.81581685744016
630105,9,Jake,Cronenworth,SD,1B,0.722,0.332,0.39,1994-01-21,29,2020-07-26, MI,USA,84.82,1.83,L,R,158,587,88,140,30,4,17,88,70,131,3,0,0.239,https://www.mlb.com/es/player/630105,25.32771954970288
642731,39,Thairo,Estrada,SF,2B,0.722,0.322,0.4,1996-02-22,27,2019-04-21, Venezuela,Venezuela,83.91,1.55,R,R,140,488,71,127,22,2,14,62,33,89,21,6,0.26,https://www.mlb.com/es/player/642731,34.92611862643079
595777,29,Jurickson,Profar,SD,LF,0.722,0.331,0.391,1993-02-20,30,2012-09-02, Curacao,Curacao,83.46,1.83,S,R,152,575,82,140,36,2,15,58,73,103,5,1,0.243,https://www.mlb.com/es/player/595777,24.921616053032334
677951,7,Bobby,Witt,KC,SS,0.722,0.294,0.428,2000-06-14,22,2022-04-07, TX,USA,90.72,1.85,R,R,150,591,82,150,31,6,20,80,30,135,30,7,0.254,https://www.mlb.com/es/player/677951,26.506939371804233
656775,31,Cedric,Mullins,BAL,CF,0.7210000000000001,0.318,0.403,1994-10-01,28,2018-08-10, NC,USA,79.38,1.75,L,L,156,608,89,157,32,4,16,64,47,126,34,10,0.258,https://www.mlb.com/es/player/656775,25.919999999999998
669720,21,Austin,Hays,BAL,LF,0.719,0.306,0.413,1995-07-05,27,2017-09-07, FL,USA,90.72,1.55,R,R,145,535,66,134,35,2,16,60,34,114,2,4,0.25,https://www.mlb.com/es/player/669720,37.76066597294484
665161,3,Jeremy,Pena,HOU,SS,0.715,0.289,0.426,1997-09-22,25,2022-04-07, Dominican Republic,Dominican Republic,91.63,1.83,R,R,136,521,72,132,20,2,22,63,22,135,11,2,0.253,https://www.mlb.com/es/player/665161,27.361223088178203
