id,Nombre,Apellido,Posicion,Dorsal,Equipo,Fecha Nac,Edad,F_Debut,Peso(Kg),Estatura(mtrs),Mano_Bateo,Mano_Lanzar,Link_Ficha_Player
595879,Javier,Baez,SS,28,Los Tigers de Detroit, 12/01/1992,30, 8/05/2014,86.18,1.83,R,R,https://www.mlb.com/es/player/595879
542583,Jesus,Aguilar,1B,99,Los Athletics de Oakland, 6/30/1990,32, 5/15/2014,125.65,1.91,R,R,https://www.mlb.com/es/player/542583
663647,Ke'Bryan,Hayes,3B,13,Los Pirates de Pittsburgh, 1/28/1997,26, 9/01/2020,92.99,1.55,R,R,https://www.mlb.com/es/player/663647
641355,Cody,Bellinger,CF,24,Los Cubs de Chicago, 7/13/1995,27, 4/25/2017,92.08,1.93,L,L,https://www.mlb.com/es/player/641355
443558,Nelson,Cruz,DH,32,Los Padres de San Diego, 7/01/1980,42, 9/17/2005,104.33,1.88,R,R,https://www.mlb.com/es/player/443558
493329,Yuli,Gurriel,1B,10,Los Marlins de Miami, 6/09/1984,38, 8/21/2016,97.52,1.83,R,R,https://www.mlb.com/es/player/493329
622761,Jorge,Mateo,SS,3,Los Orioles de Baltimore, 6/23/1995,27, 8/13/2020,90.72,1.85,R,R,https://www.mlb.com/es/player/622761
643393,Tony,Kemp,2B,5,Los Athletics de Oakland, 10/31/1991,31, 5/17/2016,72.57,1.68,L,R,https://www.mlb.com/es/player/643393
643396,Isiah,Kiner-Falefa,CF,12,Los Yankees de Nueva York, 3/23/1995,28, 4/10/2018,86.18,1.55,R,R,https://www.mlb.com/es/player/643396
514917,Cesar,Hernandez,2B,13,Major League Baseball, 5/23/1990,33, 5/29/2013,83.01,1.55,S,R,https://www.mlb.com/es/player/514917
663757,Trent,Grisham,CF,1,Los Padres de San Diego, 11/01/1996,26, 8/01/2019,101.6,1.55,L,L,https://www.mlb.com/es/player/663757
624428,Adam,Frazier,2B,12,Los Orioles de Baltimore, 12/14/1991,31, 6/24/2016,81.65,1.55,L,R,https://www.mlb.com/es/player/624428
500743,Miguel,Rojas,SS,11,Los Dodgers de Los Angeles, 2/24/1989,34, 6/06/2014,85.28,1.83,R,R,https://www.mlb.com/es/player/500743
664702,Myles,Straw,CF,7,Los Guardians de Cleveland, 10/17/1994,28, 9/15/2018,80.74,1.55,R,R,https://www.mlb.com/es/player/664702
570731,Jonathan,Schoop,2B,7,Los Tigers de Detroit, 10/16/1991,31, 9/25/2013,112.04,1.85,R,R,https://www.mlb.com/es/player/570731
