id,Nombre,Apellido,Posicion,Dorsal,Equipo,Fecha Nac,Edad,Lugar_Nacimiento,F_Debut,Peso,Estatura(mtrs),Mano_Bateo,Mano_Lanzar,Link_Ficha_Player
595777,Jurickson,Profar,LF,29,Los Rockies de Colorado,1993-02-20,30, Curacao,2012-09-02,184,1.83,S,R,https://www.mlb.com/es/player/595777
677951,Bobby,Witt,SS,7,Los Reales de Kansas City,2000-06-14,22, TX,2022-04-07,200,1.85,R,R,https://www.mlb.com/es/player/677951
656775,Cedric,Mullins,CF,31,Los Orioles de Baltimore,1994-10-01,28, NC,2018-08-10,175,1.75,L,L,https://www.mlb.com/es/player/656775
669720,Austin,Hays,LF,21,Los Orioles de Baltimore,1995-07-05,27, FL,2017-09-07,200,1.55,R,R,https://www.mlb.com/es/player/669720
665161,Jeremy,Pena,SS,3,Major League Baseball,1997-09-22,25, Dominican Republic,2022-04-07,202,1.83,R,R,https://www.mlb.com/es/player/665161
642708,Amed,Rosario,SS,1,Los Guardians de Cleveland,1995-11-20,27, Dominican Republic,2017-08-01,190,1.88,R,R,https://www.mlb.com/es/player/642708
664761,Alec,Bohm,1B,28,Los Phillies de Filadelfia,1996-08-03,26, NE,2020-08-13,218,1.96,R,R,https://www.mlb.com/es/player/664761
571970,Max,Muncy,3B,13,Los Dodgers de Los Angeles,1990-08-25,32, TX,2015-04-25,215,1.83,L,R,https://www.mlb.com/es/player/571970
527038,Wilmer,Flores,1B,41,Los Gigantes de San Francisco,1991-08-06,31, Venezuela,2013-08-06,213,1.88,R,R,https://www.mlb.com/es/player/527038
641820,Trey,Mancini,1B,36,Los Cubs de Chicago,1992-03-18,31, FL,2016-09-20,230,1.91,R,R,https://www.mlb.com/es/player/641820
572228,Luke,Voit,1B,45,Los Brewers de Milwaukee,1991-02-13,32, MO,2017-06-25,258,1.88,R,R,https://www.mlb.com/es/player/572228
673490,Ha-Seong,Kim,2B,7,Los Padres de San Diego,1995-10-17,27, South Korea,2021-04-01,168,1.75,R,R,https://www.mlb.com/es/player/673490
462101,Elvis,Andrus,SS,1,Los White Sox de Chicago,1988-08-26,34, Venezuela,2009-04-06,210,1.83,R,R,https://www.mlb.com/es/player/462101
669004,MJ,Melendez,RF,1,Los Reales de Kansas City,1998-11-29,24, FL,2022-05-03,190,1.85,L,R,https://www.mlb.com/es/player/669004
657041,Lane,Thomas,RF,28,Los Nationals de Washington,1995-08-23,27, TN,2019-04-17,198,1.83,R,R,https://www.mlb.com/es/player/657041
571657,Kyle,Farmer,3B,12,Los Twins de Minnesota,1990-08-17,32, GA,2017-07-30,205,1.83,R,R,https://www.mlb.com/es/player/571657
457705,Andrew,McCutchen,DH,22,Los Pirates de Pittsburgh,1986-10-10,36, FL,2009-06-04,195,1.55,R,R,https://www.mlb.com/es/player/457705
573262,Mike,Yastrzemski,CF,5,Los Gigantes de San Francisco,1990-08-23,32, MA,2019-05-25,178,1.55,L,L,https://www.mlb.com/es/player/573262
592206,Nick,Castellanos,RF,8,Los Phillies de Filadelfia,1992-03-04,31, FL,2013-09-01,203,1.93,R,R,https://www.mlb.com/es/player/592206
467793,Carlos,Santana,1B,41,Los Pirates de Pittsburgh,1986-04-08,37, Dominican Republic,2010-06-11,215,1.55,S,R,https://www.mlb.com/es/player/467793
608385,Jesse,Winker,DH,33,Los Brewers de Milwaukee,1993-08-17,29, NY,2017-04-14,230,1.88,L,L,https://www.mlb.com/es/player/608385
542303,Marcell,Ozuna,DH,20,Los Bravos de Atlanta,1990-11-12,32, Dominican Republic,2013-04-30,225,1.85,R,R,https://www.mlb.com/es/player/542303
502054,Tommy,Pham,LF,28,Los Mets de Nueva York,1988-03-08,35, NV,2014-09-09,223,1.85,R,R,https://www.mlb.com/es/player/502054
518626,Josh,Donaldson,3B,28,Los Yankees de Nueva York,1985-12-08,37, FL,2010-04-30,210,1.85,R,R,https://www.mlb.com/es/player/518626
572041,AJ,Pollock,DH,8,Los Mariners de Seattle,1987-12-05,35, CT,2012-04-18,210,1.85,R,R,https://www.mlb.com/es/player/572041
641487,J.P.,Crawford,SS,3,Los Mariners de Seattle,1995-01-11,28, CA,2017-09-05,202,1.88,L,R,https://www.mlb.com/es/player/641487
593160,Whit,Merrifield,2B,15,Los Blue Jays de Toronto,1989-01-24,34, SC,2016-05-18,195,1.85,R,R,https://www.mlb.com/es/player/593160
595879,Javier,Baez,SS,28,Los Tigers de Detroit,1992-12-01,30, Puerto Rico,2014-08-05,190,1.83,R,R,https://www.mlb.com/es/player/595879
542583,Jesus,Aguilar,1B,99,Los Athletics de Oakland,1990-06-30,32, Venezuela,2014-05-15,277,1.91,R,R,https://www.mlb.com/es/player/542583
663647,Ke'Bryan,Hayes,3B,13,Los Pirates de Pittsburgh,1997-01-28,26, TX,2020-09-01,205,1.55,R,R,https://www.mlb.com/es/player/663647
641355,Cody,Bellinger,CF,24,Los Cubs de Chicago,1995-07-13,27, AZ,2017-04-25,203,1.93,L,L,https://www.mlb.com/es/player/641355
443558,Nelson,Cruz,DH,32,Los Padres de San Diego,1980-07-01,42, Dominican Republic,2005-09-17,230,1.88,R,R,https://www.mlb.com/es/player/443558
493329,Yuli,Gurriel,1B,10,Los Marlins de Miami,1984-06-09,39, Cuba,2016-08-21,215,1.83,R,R,https://www.mlb.com/es/player/493329
622761,Jorge,Mateo,SS,3,Los Orioles de Baltimore,1995-06-23,27, Dominican Republic,2020-08-13,200,1.85,R,R,https://www.mlb.com/es/player/622761
643393,Tony,Kemp,2B,5,Los Athletics de Oakland,1991-10-31,31, TN,2016-05-17,160,1.68,L,R,https://www.mlb.com/es/player/643393
643396,Isiah,Kiner-Falefa,CF,12,Los Yankees de Nueva York,1995-03-23,28, HI,2018-04-10,190,1.55,R,R,https://www.mlb.com/es/player/643396
514917,Cesar,Hernandez,2B,13,Major League Baseball,1990-05-23,33, Venezuela,2013-05-29,R,1.55,S,R,https://www.mlb.com/es/player/514917
663757,Trent,Grisham,CF,1,Los Padres de San Diego,1996-11-01,26, TX,2019-08-01,224,1.55,L,L,https://www.mlb.com/es/player/663757
624428,Adam,Frazier,2B,12,Los Orioles de Baltimore,1991-12-14,31, GA,2016-06-24,180,1.55,L,R,https://www.mlb.com/es/player/624428
500743,Miguel,Rojas,SS,11,Los Dodgers de Los Angeles,1989-02-24,34, Venezuela,2014-06-06,188,1.83,R,R,https://www.mlb.com/es/player/500743
664702,Myles,Straw,CF,7,Los Guardians de Cleveland,1994-10-17,28, CA,2018-09-15,178,1.55,R,R,https://www.mlb.com/es/player/664702
570731,Jonathan,Schoop,2B,7,Los Tigers de Detroit,1991-10-16,31, Curacao,2013-09-25,247,1.85,R,R,https://www.mlb.com/es/player/570731
